Question	Count	States	
Residency	4		
Governed by an organization's bylaws / articles of incorporation (AOI)	0.45	23	45%
Clerk must be a state resident	0.02	1.00	2%
In-state residency not required	0.51	26.00	51%
No applicable laws exist on this topic	0.02	1.00	2%
Grand Total	1.00	51.00	100%
Description		Residency refers to legal provisions requiring nonprofit boards members to reside in the same state where the nonprofit is incorporated. Below are the findings on a nationwide basis regarding residency of board directors.	
Introduction		To what degree are board members required to reside in the same state where the nonprofit is incorporated?	
Trends		All states allow for board members to be out-of-state residents; nearly half leave this determination up to the Bylaws or the Articles of Incorporation (AOI). One state, Massachusetts, requires the clerk to be a resident. 	
Quorum	5		
1/3 of board members	0.65	33.00	65%
1/4 of board members	0.02	1.00	2%
1/5 of board members	0.02	1.00	2%
Governed by an organization's bylaws / articles of incorporation (AOI)	0.04	2.00	4%
A majority of board members	0.27	14.00	27%
Grand Total	1.00	51.00	100%
Description		Quorum refers to the minimum number of voting members who must be present at a meeting in order for a vote to occur.  Below are the findings on a nationwide basis regarding the establishment of quorum.	
Introduction		What is the minimum number of voting members that must be present at a meeting in order for a vote to occur? 	
Trends		The majority of states (33) require 1/3 of voting members to be present for a vote to occur.  14 states require a majority of members to be present, and 2 states have a lower standard -- one requiring only 1/4, and one requiring only 1/5  of members to be present.   Two states rely on Bylaws.  It is understood that any action taken by a quorum of the board counts as the action of the full board of directors. 	
Terms	3.00		
Governed by an organization's bylaws / articles of incorporation (AOI)	0.31	16.00	31%
Governed by an organization's bylaws / articles of incorporation (AOI); if bylaws do not specify, then one (1) year	0.59	30.00	59%
No applicable laws exist on this topic	0.10	5.00	10%
Grand Total	1.00	51.00	100%
Description		Terms and limits refer to the number of years a board member serves in a single term, and any provisions in the state code to limit the number of terms (consecutive or non-consecutive) a member may serve. Below are the findings on a nationwide basis regarding terms and limits of board directors.	
Introduction		What mandated limits exist around the length and number of terms a board member may serve? 	
Trends		Bylaws are often allowed to define directors’ terms (16 states). Most (30) states provide a minimum one-year term if an organization’s bylaws do not specify a minimum.  <br><br> Many states set a limit for term length, such as 5 or 6 years, but others have no such provision. Some states will allow for directors to serve until their successors are elected, regardless of term expirations, or they’ll state that terms can be successive. 	
Location	3.00		
Governed by an organization's bylaws / articles of incorporation (AOI)	0.06	3.00	6%
No applicable laws exist on this topic	0.02	1.00	2%
Either regular or special meetings may take place in or out of state	0.92	47.00	92%
Grand Total	1.00	51.00	100%
Description		Meeting location refers to the physical/virtual location where regular and special board meetings may occur. Below are the findings on a nationwide basis regarding meeting location.	
Introduction		What are the constraints around where regular and special board meetings may occur? 	
Trends		The overwhelming majority of states (47) allow for regular or special meetings to take place in our out of state. 3 states allow for that to be determined by the bylaws and Texas is silent on the topic.	
Notice	9.00		
Two (2) days' notice required, may be delivered electronically	0.02	1.00	2%
Governed by an organization's bylaws / articles of incorporation (AOI)	0.37	19.00	37%
No applicable laws exist on this topic	0.06	3.00	6%
Notice required not less than ten (10) days and no more than sixty (60) days prior to meeting	0.02	1.00	2%
Not required for regular meetings; ten (10) days' notice required for special meetings	0.02	1.00	2%
Notice not required for regular meetings; Two (2) days' notice required for special meetings	0.45	23.00	45%
Not required for regular meetings; two (2) days' notice required for special meetings; seven (7) days' notice required for director removal	0.02	1.00	2%
Not required for regular meetings; five (5) days' notice required for special meetings	0.02	1.00	2%
Not required	0.02	1.00	2%
Grand Total	1.00	51.00	100%
Description		Notice of meeting refers to the requirement of organizations to alert board members in advance of the date, time, and location for a board meeting. The provisions in Notice of Meeting and Waiver of Notice also define what constitutes “notice.” Below are the findings on a nationwide basis regarding notice of meeting. 	
Introduction		How and when must organizations alert board members of the date, time, and location of meetings? 	
Trends		States define two types of meetings. Regular meetings are those meetings that are included in the annual board calendar; special meetings are off-calendar meetings. <br><br> States don’t often require that notice be given for regular meetings, unless the bylaws so require.  In the case of special meetings, the most common requirement is 2 days' notice, required by 23 states.	
Waiver	4.00		
Waived by virtue of attendance	0.22	11.00	22%
Waived by virtue of attendance or a signed waiver	0.67	34.00	67%
Governed by an organization's bylaws or articles of incorporation (AOI)	0.04	2.00	4%
No applicable laws exist on this topic	0.08	4.00	8%
Grand Total	1.00	51.00	100%
Description		Waiver of notice refers to the rights of board members to “waive” their right to be notified in advance of board meetings, and to the conditions under which an organization would not need to provide advance notice of a board meeting. Below are the findings on a nationwide basis regarding waiver of notice.  	
Introduction		How may board members “waive” their right to be notified in advance of board meetings? 	
Trends		In 11 states attendance at a meeting constitutes waiver of notice for that meeting. Many states (34) also allow for a written waiver to be provided prior to or after the meeting.	
Meeting	6.00		
Governed by an organization's bylaws / articles of incorporation (AOI)	0.04	2.00	4%
No applicable laws exist on this topic	0.02	1.00	2%
Yes, as long as all participants are able to COMMUNICATE CONCURRENTLY	0.04	2.00	4%
Yes, as long as all participants are able to COMMUNICATE	0.14	7.00	14%
Yes, as long as all participants are able to "HEAR" proceedings	0.70	36.00	70%
Yes, as long as all participants are able to PARTICIPATE	0.06	3.00	6%
Grand Total	1.00	51.00	100%
Description		E-Meetings refer to the use of electronic communication technology by boards is commonly called "e-meeting." E-meeting refers to the use of technology to facilitate board communications, including: providing meeting notices, voting, approvals, board discussions, and other common board communications. Below are the findings on a nationwide basis regarding e-meeting.	
Introduction		To what degree are electronic communications able to replace hard copy mail to conduct board business? 	
Trends		Nearly all states allow for meetings to occur using electronic communication such as teleconference or videoconference, with only 2 states (MA, NH) leaving that decision to bylaws and 1 state (AK) remaining silent on the topic. <br><br> However, there are distinctions made by states in terms of how technology may be utilized.  One standard adopted by most states (36) specifies that everyone must be able to hear one another.  A different benchmark requires participants to be able to communicate with one another (7 states), or to specifically be able to do so concurrently (2 states, CA and TX). Finally, three states (MN, ND, OH) require that attendees can participate, which broadens the definition of communication to include such means as chats or sign language. In all cases, the crux is to foster an environment where an exchange is able to take place such as would happen in an in person meeting. <br><br> Participation in a meeting by means of any electronic communication always constitutes presence at a meeting.	
Actions	8.00		
Governed by an organization's bylaws / articles of incorporation (AOI)	0.04	2.00	4%
No applicable laws exist on this topic	0.04	2.00	4%
With or without a meeting by written consent APPROVED BY QUORUM; votes can be revoked in writing; all writings must be filed in recorded minutes	0.02	1.00	2%
With or without a meeting by written consent SIGNED BY 2/3 OF BOARD MEMBERS	0.02	1.00	2%
With or without a meeting by written consent SIGNED BY ALL BOARD MEMBERS AND INCLUDED IN RECORDED MINUTES	0.80	41.00	80%
With or without a meeting by written consent SIGNED BY ALL BOARD MEMBER AND INCLUDED IN RECORDED MINUTES; INTERESTED / COMMON BOARD MEMBERS EXLUDED WHEN APPLICABLE	0.02	1.00	2%
With or without a meeting by written consent SIGNED BY A MAJORITY OF BOARD MEMBERS AND INCLUDED IN RECORDED MINUTES	0.02	1.00	2%
